time,open,high,low,close,volume,open_oi,close_oi
2025-09-15,4764.0,4764.0,4706.0,4758.0,24.0,0.0,13.0
2025-09-16,4770.0,4792.0,4750.0,4774.0,23.0,13.0,29.0
2025-09-17,4772.0,4786.0,4760.0,4784.0,11.0,29.0,33.0
2025-09-18,4778.0,4810.0,4740.0,4740.0,37.0,33.0,54.0
2025-09-19,4752.0,4752.0,4672.0,4682.0,68.0,54.0,103.0
2025-09-22,4680.0,4692.0,4650.0,4660.0,51.0,103.0,135.0
2025-09-23,4634.0,4642.0,4620.0,4640.0,105.0,135.0,236.0
2025-09-24,4658.0,4710.0,4658.0,4702.0,42.0,236.0,237.0
2025-09-25,4700.0,4768.0,4700.0,4766.0,72.0,237.0,264.0
2025-09-26,4762.0,4764.0,4732.0,4738.0,73.0,264.0,251.0
2025-09-29,4732.0,4756.0,4710.0,4732.0,116.0,251.0,229.0
2025-09-30,4710.0,4716.0,4660.0,4682.0,166.0,229.0,337.0
2025-10-09,4668.0,4682.0,4620.0,4670.0,314.0,337.0,397.0
2025-10-10,4674.0,4682.0,4602.0,4610.0,415.0,397.0,638.0
2025-10-13,4600.0,4604.0,4570.0,4588.0,1139.0,638.0,1453.0
2025-10-14,4590.0,4592.0,4520.0,4540.0,1001.0,1453.0,1920.0
2025-10-15,4540.0,4540.0,4498.0,4524.0,1365.0,1920.0,2745.0
2025-10-16,4532.0,4550.0,4512.0,4544.0,613.0,2745.0,2969.0
2025-10-17,4556.0,4556.0,4496.0,4498.0,567.0,2969.0,3061.0
2025-10-20,4510.0,4544.0,4488.0,4498.0,1060.0,3061.0,3633.0
2025-10-21,4502.0,4540.0,4486.0,4516.0,467.0,3633.0,3681.0
2025-10-22,4532.0,4586.0,4526.0,4576.0,540.0,3681.0,3687.0
2025-10-23,4580.0,4620.0,4572.0,4606.0,414.0,3687.0,3694.0
2025-10-24,4622.0,4646.0,4610.0,4614.0,845.0,3694.0,4098.0
2025-10-27,4624.0,4738.0,4618.0,4706.0,1190.0,4098.0,4454.0
2025-10-28,4706.0,4710.0,4672.0,4696.0,1955.0,4454.0,5690.0
2025-10-29,4670.0,4706.0,4664.0,4706.0,488.0,5690.0,5850.0
2025-10-30,4710.0,4736.0,4640.0,4652.0,815.0,5850.0,6190.0
2025-10-31,4640.0,4698.0,4636.0,4666.0,739.0,6190.0,6251.0
2025-11-03,4680.0,4708.0,4664.0,4684.0,1107.0,6251.0,6638.0
2025-11-04,4676.0,4700.0,4654.0,4674.0,1825.0,6638.0,6620.0
2025-11-05,4666.0,4690.0,4628.0,4676.0,1499.0,6620.0,7182.0
2025-11-06,4670.0,4760.0,4634.0,4756.0,1890.0,7182.0,7711.0
2025-11-07,4740.0,4748.0,4696.0,4732.0,2708.0,7711.0,9117.0
2025-11-10,4730.0,4768.0,4706.0,4762.0,4842.0,9117.0,11613.0
2025-11-11,4752.0,4758.0,4688.0,4700.0,4958.0,11613.0,13922.0
2025-11-12,4706.0,4730.0,4696.0,4718.0,2768.0,13922.0,15392.0
2025-11-13,4714.0,4724.0,4648.0,4724.0,5125.0,15392.0,17676.0
2025-11-14,4720.0,4766.0,4720.0,4734.0,3181.0,17676.0,18692.0
2025-11-17,4736.0,4752.0,4698.0,4720.0,4093.0,18692.0,20502.0
2025-11-18,4742.0,4744.0,4684.0,4694.0,4318.0,20502.0,22192.0
2025-11-19,4700.0,4764.0,4692.0,4728.0,4823.0,22192.0,22901.0
2025-11-20,4716.0,4756.0,4680.0,4702.0,7987.0,22901.0,25056.0
2025-11-21,4706.0,4734.0,4648.0,4666.0,7186.0,25056.0,26361.0
2025-11-24,4668.0,4714.0,4644.0,4686.0,5444.0,26361.0,27544.0
2025-11-25,4690.0,4706.0,4668.0,4668.0,5645.0,27544.0,31183.0
2025-11-26,4674.0,4700.0,4646.0,4684.0,8269.0,31183.0,36780.0
2025-11-27,4674.0,4692.0,4604.0,4630.0,14299.0,36780.0,45656.0
2025-11-28,4636.0,4700.0,4626.0,4692.0,4821.0,45656.0,46839.0
2025-12-01,4680.0,4766.0,4680.0,4762.0,10830.0,46839.0,48483.0
2025-12-02,4742.0,4768.0,4732.0,4758.0,10484.0,48483.0,51962.0
2025-12-03,4754.0,4758.0,4720.0,4744.0,9545.0,51962.0,56633.0
2025-12-04,4744.0,4752.0,4722.0,4736.0,12318.0,56633.0,62993.0
2025-12-05,4738.0,4746.0,4696.0,4702.0,6701.0,62993.0,66213.0
2025-12-08,4694.0,4728.0,4680.0,4720.0,6342.0,66213.0,68264.0
2025-12-09,4710.0,4710.0,4652.0,4656.0,12452.0,68264.0,72640.0
2025-12-10,4652.0,4666.0,4634.0,4638.0,16636.0,72640.0,80628.0
2025-12-11,4652.0,4716.0,4632.0,4676.0,18719.0,80628.0,88141.0
2025-12-12,4680.0,4680.0,4622.0,4626.0,15913.0,88141.0,93787.0
2025-12-15,4616.0,4668.0,4608.0,4648.0,14400.0,93787.0,97769.0
2025-12-16,4640.0,4650.0,4590.0,4618.0,18832.0,97769.0,105312.0
2025-12-17,4614.0,4646.0,4594.0,4626.0,19140.0,105312.0,110878.0
2025-12-18,4636.0,4692.0,4626.0,4680.0,22245.0,110878.0,114139.0
2025-12-19,4670.0,4816.0,4670.0,4810.0,34220.0,114139.0,123789.0
2025-12-22,4820.0,4966.0,4820.0,4964.0,45995.0,123789.0,131655.0
2025-12-23,4980.0,5014.0,4922.0,5002.0,32303.0,131655.0,135040.0
2025-12-24,5016.0,5076.0,4996.0,5016.0,40282.0,135040.0,134921.0
2025-12-25,5008.0,5074.0,4968.0,5058.0,49861.0,134921.0,138415.0
2025-12-26,5080.0,5194.0,5072.0,5150.0,50240.0,138415.0,145288.0
2025-12-29,5112.0,5118.0,4980.0,5012.0,56335.0,145288.0,148287.0
2025-12-30,5020.0,5078.0,5000.0,5026.0,31683.0,148287.0,152358.0
2025-12-31,5044.0,5058.0,5002.0,5010.0,20765.0,152358.0,153130.0
2026-01-05,5028.0,5044.0,4932.0,4956.0,37832.0,153130.0,155544.0
2026-01-06,4980.0,5070.0,4980.0,5060.0,38667.0,155544.0,160356.0
2026-01-07,5066.0,5136.0,5004.0,5074.0,57548.0,160356.0,167306.0
2026-01-08,5090.0,5104.0,5002.0,5026.0,51718.0,167306.0,173799.0
2026-01-09,5050.0,5064.0,4988.0,5044.0,41157.0,173799.0,180945.0
2026-01-12,5034.0,5162.0,5026.0,5094.0,64449.0,180945.0,192242.0
2026-01-13,5088.0,5120.0,5036.0,5088.0,45465.0,192242.0,197478.0
2026-01-14,5088.0,5136.0,5058.0,5070.0,65632.0,197478.0,201415.0
2026-01-15,5092.0,5132.0,4992.0,5010.0,57817.0,201415.0,206324.0
2026-01-16,4990.0,5026.0,4950.0,4974.0,70230.0,206324.0,214732.0
2026-01-19,4998.0,5016.0,4966.0,4988.0,27622.0,214732.0,216241.0
2026-01-20,4984.0,5108.0,4950.0,5092.0,56746.0,216241.0,218299.0
2026-01-21,5100.0,5146.0,5066.0,5110.0,82070.0,218299.0,227871.0
2026-01-22,5132.0,5278.0,5108.0,5264.0,110338.0,227871.0,246896.0
2026-01-23,5236.0,5416.0,5232.0,5408.0,149555.0,246896.0,254964.0
