code,freq,bars,first,last
ao2609,15m,6189,2025-09-15 21:30,2026-07-22 11:15
ao2609,1d,203,2025-09-16,2026-07-22
ao2609,1h,1801,2025-09-15 21:00,2026-07-22 11:00
ao2609,1m,8000,2026-06-29 09:30,2026-07-22 11:19
ao2609,30m,3196,2025-09-15 21:30,2026-07-22 11:00
ao2609,5m,8000,2026-03-13 22:40,2026-07-22 11:15
bu2609,15m,8000,2025-02-12 13:45,2026-07-22 11:15
bu2609,1d,444,2024-09-19,2026-07-22
bu2609,1h,3076,2024-09-19 14:00,2026-07-22 11:00
bu2609,1m,8000,2026-06-17 22:00,2026-07-22 11:19
bu2609,30m,5266,2024-09-19 14:30,2026-07-22 11:00
bu2609,5m,8000,2026-01-23 09:10,2026-07-22 11:15
c2609,15m,4638,2025-09-12 21:00,2026-07-22 11:15
c2609,1d,204,2025-09-15,2026-07-22
c2609,1h,1414,2025-09-12 21:00,2026-07-22 11:00
c2609,1m,8000,2026-06-17 22:00,2026-07-22 11:19
c2609,30m,2421,2025-09-12 21:00,2026-07-22 11:00
c2609,5m,8000,2026-01-23 09:10,2026-07-22 11:15
CF609,15m,4638,2025-09-12 21:00,2026-07-22 11:15
CF609,1d,204,2025-09-15,2026-07-22
CF609,1h,1414,2025-09-12 21:00,2026-07-22 11:00
CF609,1m,8000,2026-06-17 22:01,2026-07-22 11:20
CF609,30m,2421,2025-09-12 21:00,2026-07-22 11:00
CF609,5m,8000,2026-01-23 09:15,2026-07-22 11:20
ec2608,15m,3264,2025-08-26 09:00,2026-07-22 11:15
ec2608,1d,218,2025-08-26,2026-07-22
ec2608,1h,1088,2025-08-26 09:00,2026-07-22 11:00
ec2608,1m,8000,2026-06-02 09:00,2026-07-22 11:19
ec2608,30m,1741,2025-08-26 09:00,2026-07-22 11:00
ec2608,5m,8000,2025-10-28 14:10,2026-07-22 11:15
eg2609,15m,4429,2025-09-25 21:30,2026-07-22 11:15
eg2609,1d,195,2025-09-26,2026-07-22
eg2609,1h,1351,2025-09-25 21:00,2026-07-22 11:00
eg2609,1m,8000,2026-06-17 22:00,2026-07-22 11:19
eg2609,30m,2312,2025-09-25 21:30,2026-07-22 11:00
eg2609,5m,8000,2026-01-23 09:10,2026-07-22 11:15
FG609,15m,4638,2025-09-12 21:00,2026-07-22 11:15
FG609,1d,204,2025-09-15,2026-07-22
FG609,1h,1414,2025-09-12 21:00,2026-07-22 11:00
FG609,1m,8000,2026-06-17 22:01,2026-07-22 11:20
FG609,30m,2421,2025-09-12 21:00,2026-07-22 11:00
FG609,5m,8000,2026-01-23 09:15,2026-07-22 11:20
fu2609,15m,4868,2025-08-29 21:00,2026-07-22 11:15
fu2609,1d,214,2025-09-01,2026-07-22
fu2609,1h,1484,2025-08-29 21:00,2026-07-22 11:00
fu2609,1m,8000,2026-06-17 22:00,2026-07-22 11:19
fu2609,30m,2541,2025-08-29 21:00,2026-07-22 11:00
fu2609,5m,8000,2026-01-23 09:10,2026-07-22 11:15
i2609,15m,4638,2025-09-12 21:00,2026-07-22 11:15
i2609,1d,204,2025-09-15,2026-07-22
i2609,1h,1414,2025-09-12 21:00,2026-07-22 11:00
i2609,1m,8000,2026-06-17 22:00,2026-07-22 11:19
i2609,30m,2421,2025-09-12 21:00,2026-07-22 11:00
i2609,5m,8000,2026-01-23 09:10,2026-07-22 11:15
jm2609,15m,4638,2025-09-12 21:00,2026-07-22 11:15
jm2609,1d,204,2025-09-15,2026-07-22
jm2609,1h,1414,2025-09-12 21:00,2026-07-22 11:00
jm2609,1m,8000,2026-06-17 22:00,2026-07-22 11:19
jm2609,30m,2421,2025-09-12 21:00,2026-07-22 11:00
jm2609,5m,8000,2026-01-23 09:10,2026-07-22 11:15
m2609,15m,4638,2025-09-12 21:00,2026-07-22 11:15
m2609,1d,204,2025-09-15,2026-07-22
m2609,1h,1414,2025-09-12 21:00,2026-07-22 11:00
m2609,1m,8000,2026-06-17 22:00,2026-07-22 11:19
m2609,30m,2421,2025-09-12 21:00,2026-07-22 11:00
m2609,5m,8000,2026-01-23 09:10,2026-07-22 11:15
MA609,15m,4638,2025-09-12 21:00,2026-07-22 11:15
MA609,1d,204,2025-09-15,2026-07-22
MA609,1h,1414,2025-09-12 21:00,2026-07-22 11:00
MA609,1m,8000,2026-06-17 22:01,2026-07-22 11:20
MA609,30m,2421,2025-09-12 21:00,2026-07-22 11:00
MA609,5m,8000,2026-01-23 09:15,2026-07-22 11:20
p2609,15m,4638,2025-09-12 21:00,2026-07-22 11:15
p2609,1d,204,2025-09-15,2026-07-22
p2609,1h,1414,2025-09-12 21:00,2026-07-22 11:00
p2609,1m,8000,2026-06-17 22:00,2026-07-22 11:19
p2609,30m,2421,2025-09-12 21:00,2026-07-22 11:00
p2609,5m,8000,2026-01-23 09:10,2026-07-22 11:15
pg2608,15m,4915,2025-08-27 14:45,2026-07-22 11:15
pg2608,1d,217,2025-08-27,2026-07-22
pg2608,1h,1499,2025-08-27 14:00,2026-07-22 11:00
pg2608,1m,8000,2026-06-17 22:00,2026-07-22 11:19
pg2608,30m,2566,2025-08-27 14:30,2026-07-22 11:00
pg2608,5m,8000,2026-01-23 09:10,2026-07-22 11:15
rb2610,15m,4255,2025-10-15 21:00,2026-07-22 11:15
rb2610,1d,187,2025-10-16,2026-07-22
rb2610,1h,1297,2025-10-15 21:00,2026-07-22 11:00
rb2610,1m,8000,2026-06-17 22:00,2026-07-22 11:19
rb2610,30m,2221,2025-10-15 21:00,2026-07-22 11:00
rb2610,5m,8000,2026-01-23 09:10,2026-07-22 11:15
SA609,15m,4638,2025-09-12 21:00,2026-07-22 11:15
SA609,1d,204,2025-09-15,2026-07-22
SA609,1h,1414,2025-09-12 21:00,2026-07-22 11:00
SA609,1m,8000,2026-06-17 22:01,2026-07-22 11:20
SA609,30m,2421,2025-09-12 21:00,2026-07-22 11:00
SA609,5m,8000,2026-01-23 09:15,2026-07-22 11:20
sc2609,15m,8000,2025-08-21 21:30,2026-07-22 11:15
sc2609,1d,697,2023-09-01,2026-07-22
sc2609,1h,7541,2023-09-01 14:00,2026-07-22 11:00
sc2609,1m,8000,2026-07-02 00:45,2026-07-22 11:19
sc2609,30m,8000,2024-10-18 01:00,2026-07-22 11:00
sc2609,5m,8000,2026-04-02 14:40,2026-07-22 11:15
SH609,15m,4638,2025-09-12 21:00,2026-07-22 11:15
SH609,1d,204,2025-09-15,2026-07-22
SH609,1h,1414,2025-09-12 21:00,2026-07-22 11:00
SH609,1m,8000,2026-06-17 22:01,2026-07-22 11:20
SH609,30m,2421,2025-09-12 21:00,2026-07-22 11:00
SH609,5m,8000,2026-01-23 09:15,2026-07-22 11:20
sp2609,15m,4615,2025-09-15 21:00,2026-07-22 11:15
sp2609,1d,203,2025-09-16,2026-07-22
sp2609,1h,1407,2025-09-15 21:00,2026-07-22 11:00
sp2609,1m,8000,2026-06-17 22:00,2026-07-22 11:19
sp2609,30m,2409,2025-09-15 21:00,2026-07-22 11:00
sp2609,5m,8000,2026-01-23 09:10,2026-07-22 11:15
SR609,15m,4638,2025-09-12 21:00,2026-07-22 11:15
SR609,1d,204,2025-09-15,2026-07-22
SR609,1h,1414,2025-09-12 21:00,2026-07-22 11:00
SR609,1m,8000,2026-06-17 22:01,2026-07-22 11:20
SR609,30m,2421,2025-09-12 21:00,2026-07-22 11:00
SR609,5m,8000,2026-01-23 09:15,2026-07-22 11:20
TA609,15m,4638,2025-09-12 21:00,2026-07-22 11:15
TA609,1d,204,2025-09-15,2026-07-22
TA609,1h,1414,2025-09-12 21:00,2026-07-22 11:00
TA609,1m,8000,2026-06-17 22:01,2026-07-22 11:20
TA609,30m,2421,2025-09-12 21:00,2026-07-22 11:00
TA609,5m,8000,2026-01-23 09:15,2026-07-22 11:20
v2609,15m,4637,2025-09-12 21:15,2026-07-22 11:15
v2609,1d,204,2025-09-15,2026-07-22
v2609,1h,1414,2025-09-12 21:00,2026-07-22 11:00
v2609,1m,8000,2026-06-17 22:00,2026-07-22 11:19
v2609,30m,2421,2025-09-12 21:00,2026-07-22 11:00
v2609,5m,8000,2026-01-23 09:10,2026-07-22 11:15
y2609,15m,4637,2025-09-12 21:15,2026-07-22 11:15
y2609,1d,204,2025-09-15,2026-07-22
y2609,1h,1414,2025-09-12 21:00,2026-07-22 11:00
y2609,1m,8000,2026-06-17 22:00,2026-07-22 11:19
y2609,30m,2421,2025-09-12 21:00,2026-07-22 11:00
y2609,5m,8000,2026-01-23 09:10,2026-07-22 11:15
