time,open,high,low,close,volume,open_oi,close_oi
2025-09-16,3108.0,3115.0,3090.0,3109.0,20.0,0.0,18.0
2025-09-17,3093.0,3099.0,3050.0,3054.0,67.0,18.0,67.0
2025-09-18,3082.0,3099.0,3073.0,3075.0,12.0,67.0,65.0
2025-09-19,3060.0,3079.0,3056.0,3079.0,33.0,65.0,76.0
2025-09-22,3331.0,3331.0,3050.0,3061.0,61.0,76.0,104.0
2025-09-23,3062.0,3062.0,3009.0,3019.0,71.0,104.0,110.0
2025-09-24,3017.0,3036.0,3013.0,3021.0,60.0,110.0,127.0
2025-09-25,3030.0,3070.0,3020.0,3061.0,46.0,127.0,145.0
2025-09-26,3065.0,3065.0,3040.0,3040.0,40.0,145.0,150.0
2025-09-29,3013.0,3050.0,3005.0,3041.0,59.0,150.0,156.0
2025-09-30,3027.0,3037.0,3002.0,3011.0,65.0,156.0,169.0
2025-10-09,3018.0,3026.0,2991.0,3012.0,72.0,169.0,188.0
2025-10-10,3034.0,3052.0,3000.0,3005.0,103.0,188.0,219.0
2025-10-13,3003.0,3004.0,2973.0,2982.0,104.0,219.0,265.0
2025-10-14,2982.0,2982.0,2953.0,2961.0,93.0,265.0,266.0
2025-10-15,2960.0,2976.0,2947.0,2962.0,80.0,266.0,267.0
2025-10-16,2945.0,2959.0,2945.0,2954.0,26.0,267.0,272.0
2025-10-17,2951.0,2979.0,2945.0,2965.0,24.0,272.0,278.0
2025-10-20,2997.0,2997.0,2961.0,2965.0,53.0,278.0,286.0
2025-10-21,2963.0,2979.0,2922.0,2964.0,34.0,286.0,297.0
2025-10-22,2973.0,2993.0,2970.0,2982.0,111.0,297.0,336.0
2025-10-23,2976.0,3002.0,2975.0,2997.0,50.0,336.0,349.0
2025-10-24,2999.0,2999.0,2973.0,2984.0,114.0,349.0,384.0
2025-10-27,2986.0,3018.0,2980.0,3009.0,176.0,384.0,423.0
2025-10-28,3009.0,3033.0,3001.0,3004.0,173.0,423.0,410.0
2025-10-29,3000.0,3046.0,3000.0,3046.0,183.0,410.0,433.0
2025-10-30,3046.0,3051.0,3002.0,3012.0,198.0,433.0,442.0
