time,open,high,low,close,volume,open_oi,close_oi
2025-09-26,4450.0,4450.0,4342.0,4342.0,5.0,0.0,2.0
2025-09-29,4367.0,4367.0,4367.0,4367.0,0.0,2.0,2.0
2025-09-30,4315.0,4315.0,4315.0,4315.0,0.0,2.0,2.0
2025-10-09,4259.0,4259.0,4259.0,4259.0,2.0,2.0,4.0
2025-10-10,4289.0,4289.0,4257.0,4257.0,4.0,4.0,6.0
2025-10-13,4267.0,4267.0,4267.0,4267.0,0.0,6.0,6.0
2025-10-14,4204.0,4204.0,4195.0,4195.0,3.0,6.0,7.0
2025-10-15,4202.0,4202.0,4202.0,4202.0,2.0,7.0,7.0
2025-10-16,4171.0,4171.0,4171.0,4171.0,3.0,7.0,9.0
2025-10-17,4195.0,4196.0,4124.0,4124.0,24.0,9.0,14.0
2025-10-20,4148.0,4161.0,4126.0,4126.0,7.0,14.0,13.0
2025-10-21,4128.0,4168.0,4120.0,4164.0,13.0,13.0,22.0
2025-10-22,4171.0,4182.0,4171.0,4182.0,3.0,22.0,22.0
2025-10-23,4178.0,4178.0,4178.0,4178.0,0.0,22.0,22.0
2025-10-24,4202.0,4202.0,4202.0,4202.0,0.0,22.0,22.0
2025-10-27,4207.0,4276.0,4207.0,4276.0,6.0,22.0,25.0
2025-10-28,4234.0,4241.0,4227.0,4227.0,3.0,25.0,24.0
2025-10-29,4217.0,4217.0,4217.0,4217.0,1.0,24.0,25.0
2025-10-30,4204.0,4204.0,4168.0,4168.0,3.0,25.0,25.0
2025-10-31,4167.0,4182.0,4167.0,4182.0,5.0,25.0,28.0
2025-11-03,4131.0,4131.0,4101.0,4124.0,3.0,28.0,28.0
2025-11-04,4108.0,4112.0,4085.0,4092.0,66.0,28.0,89.0
2025-11-05,4080.0,4101.0,4076.0,4100.0,127.0,89.0,131.0
2025-11-06,4078.0,4096.0,4059.0,4096.0,97.0,131.0,161.0
2025-11-07,4120.0,4133.0,4118.0,4118.0,9.0,161.0,162.0
2025-11-10,4115.0,4116.0,4080.0,4116.0,27.0,162.0,168.0
2025-11-11,4084.0,4108.0,4051.0,4051.0,25.0,168.0,181.0
2025-11-12,4060.0,4080.0,4057.0,4068.0,41.0,181.0,198.0
2025-11-13,4053.0,4080.0,4040.0,4063.0,31.0,198.0,208.0
2025-11-14,4092.0,4116.0,4092.0,4111.0,44.0,208.0,233.0
2025-11-17,4116.0,4130.0,4098.0,4125.0,38.0,233.0,228.0
2025-11-18,4099.0,4100.0,4078.0,4078.0,6.0,228.0,230.0
2025-11-19,4088.0,4098.0,4057.0,4090.0,36.0,230.0,252.0
2025-11-20,4037.0,4055.0,4020.0,4020.0,67.0,252.0,277.0
2025-11-21,4027.0,4037.0,3996.0,4000.0,84.0,277.0,342.0
2025-11-24,3991.0,4060.0,3985.0,4046.0,127.0,342.0,362.0
2025-11-25,4049.0,4080.0,4031.0,4034.0,70.0,362.0,359.0
2025-11-26,4038.0,4048.0,4034.0,4043.0,86.0,359.0,365.0
2025-11-27,4053.0,4053.0,4015.0,4015.0,104.0,365.0,384.0
2025-11-28,4021.0,4030.0,4008.0,4030.0,146.0,384.0,472.0
